2023-08-29T10:44:23+02:00
Running ./../build/correct_runtime_test.out
Run on (32 X 1400 MHz CPU s)
CPU Caches:
  L1 Data 16 KiB (x32)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 6144 KiB (x8)
Load Average: 0.86, 0.31, 0.21
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"test/32768/real_time_mean",5,459.489,230.199,us,,,,,
"test/32768/real_time_median",5,455.843,231.065,us,,,,,
"test/32768/real_time_stddev",5,10.779,6.4543,us,,,,,
"test/32768/real_time_cv",5,4691.73,5607.59,us,,,,,
"test/65536/real_time_mean",5,485.735,236.432,us,,,,,
"test/65536/real_time_median",5,452.473,226.681,us,,,,,
"test/65536/real_time_stddev",5,54.6484,18.6021,us,,,,,
"test/65536/real_time_cv",5,22501.3,15735.7,us,,,,,
"test/131072/real_time_mean",5,559.954,261.816,us,,,,,
"test/131072/real_time_median",5,555.923,262.662,us,,,,,
"test/131072/real_time_stddev",5,19.5308,8.77493,us,,,,,
"test/131072/real_time_cv",5,6975.86,6703.13,us,,,,,
"test/262144/real_time_mean",5,460.016,232.25,us,,,,,
"test/262144/real_time_median",5,467.062,229.309,us,,,,,
"test/262144/real_time_stddev",5,11.7125,9.34523,us,,,,,
"test/262144/real_time_cv",5,5092.23,8047.55,us,,,,,
"test/524288/real_time_mean",5,529.906,250.113,us,,,,,
"test/524288/real_time_median",5,551.465,265.426,us,,,,,
"test/524288/real_time_stddev",5,62.357,25.5633,us,,,,,
"test/524288/real_time_cv",5,23535.1,20441.4,us,,,,,
"test/1048576/real_time_mean",5,456.212,230.163,us,,,,,
"test/1048576/real_time_median",5,453.102,228.533,us,,,,,
"test/1048576/real_time_stddev",5,15.8514,5.62559,us,,,,,
"test/1048576/real_time_cv",5,6949.14,4888.35,us,,,,,
"test/2097152/real_time_mean",5,489.089,242.419,us,,,,,
"test/2097152/real_time_median",5,458.038,232.181,us,,,,,
"test/2097152/real_time_stddev",5,52.6229,17.6834,us,,,,,
"test/2097152/real_time_cv",5,21518.7,14589.1,us,,,,,
"test/4194304/real_time_mean",5,562.014,262.18,us,,,,,
"test/4194304/real_time_median",5,559.592,266.021,us,,,,,
"test/4194304/real_time_stddev",5,27.327,11.0364,us,,,,,
"test/4194304/real_time_cv",5,9724.68,8418.91,us,,,,,
"test/8388608/real_time_mean",5,484.945,237.842,us,,,,,
"test/8388608/real_time_median",5,468.982,234.83,us,,,,,
"test/8388608/real_time_stddev",5,60.9235,18.7556,us,,,,,
"test/8388608/real_time_cv",5,25125.9,15771.5,us,,,,,
"test/16777216/real_time_mean",5,555.218,261.822,us,,,,,
"test/16777216/real_time_median",5,568.62,264.452,us,,,,,
"test/16777216/real_time_stddev",5,34.6798,9.27008,us,,,,,
"test/16777216/real_time_cv",5,12492.3,7081.21,us,,,,,
"test/33554432/real_time_mean",5,451.447,228.349,us,,,,,
"test/33554432/real_time_median",5,450.033,228.637,us,,,,,
"test/33554432/real_time_stddev",5,4.57337,3.06443,us,,,,,
"test/33554432/real_time_cv",5,2026.1,2683.99,us,,,,,
"test/67108864/real_time_mean",5,505.569,245.592,us,,,,,
"test/67108864/real_time_median",5,524.593,242.341,us,,,,,
"test/67108864/real_time_stddev",5,53.5095,23.65,us,,,,,
"test/67108864/real_time_cv",5,21168.1,19259.6,us,,,,,
"test/134217728/real_time_mean",5,550.365,256.671,us,,,,,
"test/134217728/real_time_median",5,550.014,259.408,us,,,,,
"test/134217728/real_time_stddev",5,23.4248,14.2142,us,,,,,
"test/134217728/real_time_cv",5,8512.45,11075.8,us,,,,,
"test/268435456/real_time_mean",5,463.683,231.401,us,,,,,
"test/268435456/real_time_median",5,455.312,229.219,us,,,,,
"test/268435456/real_time_stddev",5,15.3357,7.57946,us,,,,,
"test/268435456/real_time_cv",5,6614.72,6550.92,us,,,,,
"test/536870912/real_time_mean",5,553.094,257.791,us,,,,,
"test/536870912/real_time_median",5,581.983,265.156,us,,,,,
"test/536870912/real_time_stddev",5,51.8973,16.1896,us,,,,,
"test/536870912/real_time_cv",5,18766.2,12560.3,us,,,,,
"test/1073741824/real_time_mean",5,464.614,231.566,us,,,,,
"test/1073741824/real_time_median",5,465.49,227.908,us,,,,,
"test/1073741824/real_time_stddev",5,9.96293,6.35108,us,,,,,
"test/1073741824/real_time_cv",5,4288.69,5485.33,us,,,,,
"test/2147483648/real_time_mean",5,505.551,240.497,us,,,,,
"test/2147483648/real_time_median",5,515.757,246.89,us,,,,,
"test/2147483648/real_time_stddev",5,56.6108,17.2748,us,,,,,
"test/2147483648/real_time_cv",5,22395.7,14365.9,us,,,,,
"test/4294967296/real_time_mean",5,549.253,259.042,us,,,,,
"test/4294967296/real_time_median",5,565.906,262.587,us,,,,,
"test/4294967296/real_time_stddev",5,25.6193,15.0278,us,,,,,
"test/4294967296/real_time_cv",5,9328.78,11602.6,us,,,,,
"test/8589934592/real_time_mean",5,419.824,207.145,us,,,,,
"test/8589934592/real_time_median",5,421.234,207.368,us,,,,,
"test/8589934592/real_time_stddev",5,5.77924,1.95985,us,,,,,
"test/8589934592/real_time_cv",5,2753.17,1892.25,us,,,,,
