2023-10-17T23:02:25+02:00
Running ./../build/reduction-benchmark_qdr
Run on (32 X 2600 MHz CPU s)
CPU Caches:
  L1 Data 16 KiB (x32)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 6144 KiB (x8)
Load Average: 0.00, 0.01, 0.00
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bytes","Elements"
"benchReduceOmpNoInit/32768/real_time_mean",50,4376.83,2626.26,us,,,"ReduceOmpNoInit",,,131072,32768
"benchReduceOmpNoInit/32768/real_time_median",50,4314.02,2557.94,us,,,"ReduceOmpNoInit",,,131072,32768
"benchReduceOmpNoInit/32768/real_time_stddev",50,606.404,306.791,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/32768/real_time_cv",50,2770.97,2336.34,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/65536/real_time_mean",50,4367.22,2832.65,us,,,"ReduceOmpNoInit",,,262144,65536
"benchReduceOmpNoInit/65536/real_time_median",50,4387.53,2735.52,us,,,"ReduceOmpNoInit",,,262144,65536
"benchReduceOmpNoInit/65536/real_time_stddev",50,167.748,353.499,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/65536/real_time_cv",50,768.212,2495.88,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/131072/real_time_mean",50,4410.21,2726.73,us,,,"ReduceOmpNoInit",,,524288,131072
"benchReduceOmpNoInit/131072/real_time_median",50,4343.09,2747.87,us,,,"ReduceOmpNoInit",,,524288,131072
"benchReduceOmpNoInit/131072/real_time_stddev",50,651.785,137.345,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/131072/real_time_cv",50,2955.8,1007.4,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/262144/real_time_mean",50,4115.17,2706.91,us,,,"ReduceOmpNoInit",,,1.04858e+06,262144
"benchReduceOmpNoInit/262144/real_time_median",50,4172.36,2732.13,us,,,"ReduceOmpNoInit",,,1.04858e+06,262144
"benchReduceOmpNoInit/262144/real_time_stddev",50,280.633,132.26,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/262144/real_time_cv",50,1363.9,977.198,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/524288/real_time_mean",50,4469.05,2733.57,us,,,"ReduceOmpNoInit",,,2.09715e+06,524288
"benchReduceOmpNoInit/524288/real_time_median",50,4374.1,2748.13,us,,,"ReduceOmpNoInit",,,2.09715e+06,524288
"benchReduceOmpNoInit/524288/real_time_stddev",50,517.076,149.08,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/524288/real_time_cv",50,2314.03,1090.74,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/1048576/real_time_mean",50,4349.83,2620.91,us,,,"ReduceOmpNoInit",,,4.1943e+06,1.04858e+06
"benchReduceOmpNoInit/1048576/real_time_median",50,4379.77,2611.95,us,,,"ReduceOmpNoInit",,,4.1943e+06,1.04858e+06
"benchReduceOmpNoInit/1048576/real_time_stddev",50,140.154,159.798,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/1048576/real_time_cv",50,644.412,1219.41,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/2097152/real_time_mean",50,4340.68,2555.89,us,,,"ReduceOmpNoInit",,,8.38861e+06,2.09715e+06
"benchReduceOmpNoInit/2097152/real_time_median",50,4397.89,2557.18,us,,,"ReduceOmpNoInit",,,8.38861e+06,2.09715e+06
"benchReduceOmpNoInit/2097152/real_time_stddev",50,302.721,202.312,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/2097152/real_time_cv",50,1394.81,1583.1,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/4194304/real_time_mean",50,4409.6,2582.21,us,,,"ReduceOmpNoInit",,,1.67772e+07,4.1943e+06
"benchReduceOmpNoInit/4194304/real_time_median",50,4489.62,2595.94,us,,,"ReduceOmpNoInit",,,1.67772e+07,4.1943e+06
"benchReduceOmpNoInit/4194304/real_time_stddev",50,344.204,143.088,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/4194304/real_time_cv",50,1561.16,1108.26,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/8388608/real_time_mean",50,5562.87,2628.36,us,,,"ReduceOmpNoInit",,,3.35544e+07,8.38861e+06
"benchReduceOmpNoInit/8388608/real_time_median",50,5381.55,2622.64,us,,,"ReduceOmpNoInit",,,3.35544e+07,8.38861e+06
"benchReduceOmpNoInit/8388608/real_time_stddev",50,387.66,64.0405,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/8388608/real_time_cv",50,1393.74,487.303,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/16777216/real_time_mean",50,6347.18,2752.2,us,,,"ReduceOmpNoInit",,,6.71089e+07,1.67772e+07
"benchReduceOmpNoInit/16777216/real_time_median",50,6218.08,2733.09,us,,,"ReduceOmpNoInit",,,6.71089e+07,1.67772e+07
"benchReduceOmpNoInit/16777216/real_time_stddev",50,327.708,92.7885,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/16777216/real_time_cv",50,1032.61,674.287,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/33554432/real_time_mean",50,8354.75,3074.6,us,,,"ReduceOmpNoInit",,,1.34218e+08,3.35544e+07
"benchReduceOmpNoInit/33554432/real_time_median",50,8218.81,3067.06,us,,,"ReduceOmpNoInit",,,1.34218e+08,3.35544e+07
"benchReduceOmpNoInit/33554432/real_time_stddev",50,394.508,50.0127,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/33554432/real_time_cv",50,944.393,325.328,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/67108864/real_time_mean",50,11421.5,3972.86,us,,,"ReduceOmpNoInit",,,2.68435e+08,6.71089e+07
"benchReduceOmpNoInit/67108864/real_time_median",50,11331.6,3972.96,us,,,"ReduceOmpNoInit",,,2.68435e+08,6.71089e+07
"benchReduceOmpNoInit/67108864/real_time_stddev",50,380.394,53.3764,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/67108864/real_time_cv",50,666.104,268.705,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/134217728/real_time_mean",50,15049.4,5543,us,,,"ReduceOmpNoInit",,,5.36871e+08,1.34218e+08
"benchReduceOmpNoInit/134217728/real_time_median",50,14969.6,5536.05,us,,,"ReduceOmpNoInit",,,5.36871e+08,1.34218e+08
"benchReduceOmpNoInit/134217728/real_time_stddev",50,275.493,60.2781,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/134217728/real_time_cv",50,366.118,217.493,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/268435456/real_time_mean",50,22364.3,9593.72,us,,,"ReduceOmpNoInit",,,1.07374e+09,2.68435e+08
"benchReduceOmpNoInit/268435456/real_time_median",50,22381,8624.64,us,,,"ReduceOmpNoInit",,,1.07374e+09,2.68435e+08
"benchReduceOmpNoInit/268435456/real_time_stddev",50,274.511,1345.04,us,,,"ReduceOmpNoInit",,,0,0
"benchReduceOmpNoInit/268435456/real_time_cv",50,245.491,2804.01,us,,,"ReduceOmpNoInit",,,0,0
