Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s)
32768,0.008810,0.008790
65536,0.016046,0.016040
131072,0.031244,0.031250
262144,0.059838,0.059819
524288,0.122087,0.122085
1.04858e+06,0.233043,0.232843
2.09715e+06,0.470803,0.470734
4.1943e+06,0.979931,0.979952
8.38861e+06,1.900545,1.900520
1.67772e+07,3.679730,3.679717
3.35544e+07,7.471101,7.471080
6.71089e+07,15.262043,15.262037
1.34218e+08,29.803191,29.803037
2.68435e+08,59.074535,59.074624
5.36871e+08,127.258733,127.258892
1.07374e+09,241.453688,241.453725
2.14748e+09,486.234471,486.234532
4.29497e+09,957.524118,957.524121
