Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s),Elapsed Time 3 (s)
32768,0.006574,0.006615,0.006515
65536,0.011491,0.011511,0.011471
131072,0.021532,0.021555,0.021555
262144,0.041785,0.041803,0.041803
524288,0.084456,0.084446,0.084427
1.04858e+06,0.161000,0.161028,0.161021
2.09715e+06,0.315933,0.315966,0.315922
4.1943e+06,0.646738,0.646771,0.646823
8.38861e+06,1.310593,1.310620,1.310568
1.67772e+07,2.628390,2.630132,2.630212
3.35544e+07,5.431018,5.430978,5.430522
6.71089e+07,10.068005,10.068028,9.822788
1.34218e+08,21.736970,21.736930,21.737068
2.68435e+08,39.624242,39.624308,39.624454
5.36871e+08,80.746083,80.746100,80.746149
1.07374e+09,164.546093,164.546515,164.544836
2.14748e+09,320.323864,320.324471,320.324097
4.29497e+09,632.786314,632.786763,632.786347
