Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s),Elapsed Time 3 (s),Elapsed Time 4 (s)
32768,0.006800,0.006805,0.006835,0.006820
65536,0.009316,0.009303,0.009303,0.009328
131072,0.016002,0.016020,0.016023,0.016000
262144,0.030225,0.030238,0.030248,0.030238
524288,0.060103,0.060110,0.060120,0.060083
1.04858e+06,0.117546,0.117577,0.117575,0.117573
2.09715e+06,0.238792,0.238802,0.238900,0.238742
4.1943e+06,0.494950,0.495423,0.494831,0.495445
8.38861e+06,0.954196,0.954168,0.955763,0.955596
1.67772e+07,1.924153,1.924164,1.924155,1.924122
3.35544e+07,3.735386,3.735764,3.735749,3.735396
6.71089e+07,7.585003,7.585023,7.585042,7.585013
1.34218e+08,15.542455,15.542619,15.542573,15.542455
2.68435e+08,30.992159,30.992190,30.992367,30.992276
5.36871e+08,58.846060,58.846187,58.846149,58.846188
1.07374e+09,119.291470,119.291839,119.291982,119.291823
2.14748e+09,234.104472,234.104812,234.104466,234.104341
4.29497e+09,483.671697,483.671731,483.678775,483.678554
