Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s),Elapsed Time 3 (s),Elapsed Time 4 (s),Elapsed Time 5 (s)
32768,0.005900,0.005910,0.005894,0.005913,0.005957
65536,0.007791,0.007784,0.007791,0.007777,0.007819
131072,0.013663,0.013666,0.013671,0.013688,0.013982
262144,0.025118,0.025118,0.025121,0.025119,0.025348
524288,0.048364,0.048379,0.048408,0.048402,0.048767
1.04858e+06,0.098277,0.098282,0.098278,0.098265,0.098578
2.09715e+06,0.187462,0.187467,0.187488,0.187487,0.187479
4.1943e+06,0.409987,0.409990,0.409984,0.409965,0.410357
8.38861e+06,0.788076,0.788065,0.788113,0.788048,0.788085
1.67772e+07,1.483099,1.483104,1.483101,1.483067,1.483116
3.35544e+07,3.040105,3.040096,3.039562,3.040096,3.040998
6.71089e+07,6.238535,6.238519,6.238539,6.238546,6.238487
1.34218e+08,11.883490,11.884824,11.884673,11.884715,11.883535
2.68435e+08,24.492785,24.492698,24.492734,24.492667,24.492770
5.36871e+08,46.927374,46.926403,46.926707,46.927603,46.927809
1.07374e+09,96.553219,96.553623,96.553621,96.553775,96.553719
2.14748e+09,194.666518,194.666387,194.666426,194.664181,194.664286
4.29497e+09,385.027514,385.027560,385.028076,385.027563,385.027525
