Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s),Elapsed Time 3 (s),Elapsed Time 4 (s),Elapsed Time 5 (s),Elapsed Time 6 (s)
32768,0.005203,0.005200,0.005213,0.005204,0.005210,0.005229
65536,0.006877,0.006902,0.006863,0.006913,0.006880,0.007009
131072,0.011479,0.011497,0.011492,0.011497,0.011494,0.011526
262144,0.021093,0.021089,0.021123,0.021101,0.021106,0.021281
524288,0.040091,0.040114,0.040101,0.040110,0.040110,0.040177
1.04858e+06,0.081955,0.081989,0.081988,0.081967,0.081962,0.082067
2.09715e+06,0.156981,0.156975,0.156976,0.156995,0.156979,0.158475
4.1943e+06,0.310226,0.310244,0.310241,0.310249,0.310243,0.310170
8.38861e+06,0.627272,0.627757,0.627842,0.627773,0.627901,0.628758
1.67772e+07,1.253770,1.253977,1.253938,1.253902,1.253986,1.253799
3.35544e+07,2.554357,2.554834,2.554801,2.554801,2.554829,2.554398
6.71089e+07,5.254745,5.254820,5.254743,5.254783,5.254327,5.254338
1.34218e+08,10.197452,10.197529,10.197673,10.196397,10.197577,10.196495
2.68435e+08,20.281746,20.281735,20.281758,20.281812,20.281756,20.281808
5.36871e+08,41.110048,41.110057,41.110137,41.110151,41.110176,41.109967
1.07374e+09,83.657027,83.657303,83.658101,83.657590,83.657518,83.657375
2.14748e+09,162.410197,162.410151,162.410078,162.410097,162.410186,162.414348
4.29497e+09,308.723333,308.723703,308.723287,308.723232,308.723244,308.723420
