Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s),Elapsed Time 3 (s),Elapsed Time 4 (s),Elapsed Time 5 (s),Elapsed Time 6 (s),Elapsed Time 7 (s)
32768,0.005043,0.005054,0.005079,0.005067,0.005066,0.005094,0.005136
65536,0.006092,0.006074,0.006102,0.006077,0.006068,0.006121,0.006307
131072,0.010707,0.010701,0.010700,0.010701,0.010701,0.010689,0.010757
262144,0.018928,0.018928,0.018921,0.018923,0.018937,0.018940,0.019063
524288,0.036579,0.036583,0.036579,0.036585,0.036584,0.036589,0.036695
1.04858e+06,0.068257,0.068257,0.068276,0.068268,0.068271,0.068260,0.068373
2.09715e+06,0.136192,0.136263,0.136272,0.137492,0.137865,0.137927,0.138325
4.1943e+06,0.265089,0.265091,0.265112,0.265097,0.265103,0.265117,0.267347
8.38861e+06,0.577491,0.577500,0.577498,0.577485,0.577514,0.577509,0.577494
1.67772e+07,1.164807,1.164835,1.164860,1.164854,1.164443,1.164851,1.165909
3.35544e+07,2.127406,2.127464,2.127444,2.127436,2.127472,2.127454,2.127349
6.71089e+07,4.473857,4.473809,4.473793,4.473856,4.473842,4.473854,4.473423
1.34218e+08,8.502034,8.502094,8.502128,8.502107,8.502162,8.502165,8.502257
2.68435e+08,16.888281,16.888275,16.888074,16.888298,16.888196,16.889008,16.888972
5.36871e+08,35.166352,35.166395,35.166420,35.166348,35.166387,35.166453,35.166377
1.07374e+09,67.440486,67.440472,67.440453,67.440571,67.440391,67.440454,67.441041
2.14748e+09,141.995057,141.995253,141.995122,141.995133,141.995136,141.995142,141.995289
4.29497e+09,279.231014,279.231047,279.231268,279.231383,279.231266,279.228861,279.229227
