Reduction Vector Size,Elapsed Time 1 (s),Elapsed Time 2 (s),Elapsed Time 3 (s),Elapsed Time 4 (s),Elapsed Time 5 (s),Elapsed Time 6 (s),Elapsed Time 7 (s),Elapsed Time 8 (s)
32768,0.006596,0.006606,0.006589,0.006600,0.006603,0.006596,0.006647,0.007071
65536,0.007798,0.007789,0.007802,0.007781,0.007780,0.007776,0.007822,0.008344
131072,0.010041,0.010046,0.010028,0.010038,0.010021,0.010036,0.010059,0.010464
262144,0.016544,0.016570,0.016537,0.016578,0.016572,0.016572,0.016612,0.017082
524288,0.031554,0.031576,0.031583,0.031590,0.031570,0.031607,0.031707,0.032001
1.04858e+06,0.061422,0.061452,0.061471,0.061461,0.061437,0.061454,0.061470,0.061484
2.09715e+06,0.120137,0.120148,0.120152,0.120146,0.120136,0.120154,0.120188,0.120198
4.1943e+06,0.237827,0.237832,0.237824,0.237846,0.237840,0.237835,0.237863,0.237468
8.38861e+06,0.485882,0.485841,0.485907,0.485675,0.485429,0.485440,0.485829,0.488034
1.67772e+07,0.961671,0.961744,0.961732,0.961745,0.961767,0.961740,0.961757,0.963543
3.35544e+07,1.931148,1.931111,1.931148,1.927744,1.931152,1.931149,1.931168,1.927808
6.71089e+07,3.827378,3.827375,3.827347,3.827320,3.827365,3.827376,3.827348,3.827332
1.34218e+08,7.507890,7.508181,7.507011,7.508105,7.508091,7.508098,7.508024,7.513755
2.68435e+08,15.379393,15.379513,15.379530,15.379546,15.379471,15.379487,15.379530,15.380803
5.36871e+08,30.936543,30.936621,30.936897,30.936665,30.936709,30.936680,30.936995,30.935101
1.07374e+09,60.667750,60.668312,60.668111,60.668361,60.668289,60.668397,60.668257,60.670153
2.14748e+09,119.267834,119.268411,119.267946,119.268239,119.267823,119.268002,119.268082,119.267869
4.29497e+09,243.994854,243.995071,243.994980,243.997534,243.995198,243.995134,243.995262,243.995778
