Scan Vector Size,asc-qdr08 (s),asc-qdr09 (s)
32768,0.023053,0.023085
65536,0.038550,0.038544
131072,0.082400,0.082384
262144,0.137475,0.137573
524288,0.263713,0.263613
1.04858e+06,0.540098,0.541228
2.09715e+06,1.033389,1.033015
4.1943e+06,2.081611,2.081501
8.38861e+06,4.070285,4.075316
1.67772e+07,8.335822,8.337444
3.35544e+07,16.644064,16.648412
6.71089e+07,34.975571,35.010250
1.34218e+08,64.007575,63.948767
2.68435e+08,134.847339,134.606728
5.36871e+08,264.736507,265.858485
1.07374e+09,526.726000,527.081374
2.14748e+09,1093.131564,1081.334966
4.29497e+09,2075.672666,2082.827485
