Scan Vector Size,asc-qdr08 (s),asc-qdr09 (s),asc-qdr10 (s)
32768,0.019160,0.019123,0.019087
65536,0.029605,0.029492,0.029544
131072,0.051707,0.051767,0.051761
262144,0.097620,0.097577,0.097596
524288,0.179827,0.179679,0.179770
1.04858e+06,0.348742,0.348665,0.348350
2.09715e+06,0.678822,0.678915,0.679400
4.1943e+06,1.388126,1.388281,1.390517
8.38861e+06,2.767902,2.769553,2.772968
1.67772e+07,5.461609,5.463062,5.457471
3.35544e+07,11.120769,11.134213,11.127498
6.71089e+07,22.290463,22.322539,22.326071
1.34218e+08,44.241934,44.313449,44.407312
2.68435e+08,87.650939,87.592227,87.656840
5.36871e+08,183.429201,182.335477,182.950672
1.07374e+09,352.235942,351.585560,350.567113
2.14748e+09,698.121123,696.723945,706.922079
4.29497e+09,1387.768873,1386.974603,1401.218225
