Scan Vector Size,asc-qdr08 (s),asc-qdr09 (s),asc-qdr10 (s),asc-qdr11 (s)
32768,0.063908,0.053059,0.063930,0.063974
65536,0.024980,0.025087,0.025068,0.025040
131072,0.040147,0.040545,0.040498,0.040442
262144,0.082248,0.082259,0.082289,0.082256
524288,0.136654,0.136572,0.136583,0.136861
1.04858e+06,0.280934,0.280852,0.281319,0.285687
2.09715e+06,0.536146,0.537520,0.536062,0.536128
4.1943e+06,1.052864,1.052484,1.052517,1.052382
8.38861e+06,2.266192,2.267616,2.267833,2.267987
1.67772e+07,4.330205,4.339010,4.326655,4.329598
3.35544e+07,8.390947,8.396140,8.383399,8.389752
6.71089e+07,16.352751,16.364727,16.353737,16.356528
1.34218e+08,32.368714,32.351122,32.398665,32.396480
2.68435e+08,69.374837,69.683254,69.402855,69.412071
5.36871e+08,131.803722,132.116112,131.275475,131.193056
1.07374e+09,261.359861,261.553214,261.824672,261.691465
2.14748e+09,526.377523,528.062895,524.764931,523.457011
4.29497e+09,1054.799107,1050.119991,1055.120164,1060.896329
