Scan Vector Size,asc-qdr08 (s),asc-qdr10 (s),asc-qdr11 (s),asc-qdr12 (s),asc-qdr09 (s)
32768,0.018033,0.018040,0.018043,0.018121,0.018062
65536,0.023344,0.023281,0.023316,0.023348,0.023534
131072,0.036095,0.036103,0.036136,0.036123,0.036100
262144,0.061939,0.061906,0.061987,0.061880,0.064743
524288,0.160357,0.160381,0.160362,0.160317,0.160054
1.04858e+06,0.228691,0.228528,0.228768,0.228763,0.230697
2.09715e+06,0.428794,0.429149,0.429001,0.429003,0.428862
4.1943e+06,0.862486,0.862463,0.862586,0.861387,0.861698
8.38861e+06,1.668894,1.669001,1.671134,1.668704,1.670346
1.67772e+07,3.344769,3.344481,3.337094,3.339976,3.343594
3.35544e+07,6.591906,6.595766,6.606017,6.598274,6.597770
6.71089e+07,12.918004,12.928681,12.938590,12.901563,12.916447
1.34218e+08,26.967470,27.022902,27.060917,27.053394,26.990601
2.68435e+08,52.564981,52.817058,52.998932,52.689905,52.720217
5.36871e+08,104.635748,104.743056,104.712978,104.738131,105.433606
1.07374e+09,209.179696,209.706438,209.353153,208.526561,208.119967
2.14748e+09,417.015032,417.308222,420.655207,416.295362,423.333094
4.29497e+09,824.987251,826.637140,827.740823,821.965009,820.810038
