Scan Vector Size,asc-qdr08 (s),asc-qdr13 (s),asc-qdr10 (s),asc-qdr11 (s),asc-qdr12 (s),asc-qdr09 (s)
32768,0.018457,0.018469,0.018464,0.018461,0.018451,0.018611
65536,0.024234,0.024252,0.024303,0.024326,0.024247,0.024394
131072,0.033734,0.033741,0.033730,0.033738,0.033852,0.033724
262144,0.052878,0.052838,0.052868,0.052864,0.052803,0.052795
524288,0.096564,0.096522,0.096588,0.096621,0.096488,0.096592
1.04858e+06,0.185916,0.186059,0.185961,0.186121,0.185989,0.185886
2.09715e+06,0.368505,0.368555,0.368854,0.369442,0.368504,0.369104
4.1943e+06,0.687959,0.688133,0.687572,0.688893,0.687831,0.688564
8.38861e+06,1.421053,1.421607,1.421761,1.421835,1.421694,1.425127
1.67772e+07,2.691605,2.689244,2.690243,2.695782,2.689933,2.692426
3.35544e+07,5.439940,5.444122,5.452116,5.447496,5.443710,5.446106
6.71089e+07,11.917299,11.932027,11.928906,11.947611,11.896578,11.915526
1.34218e+08,21.919478,21.906841,21.934805,21.915441,21.920405,21.964444
2.68435e+08,46.572555,46.570184,46.611093,46.849586,46.605671,46.632230
5.36871e+08,89.492404,89.515533,89.929728,89.435286,89.299353,89.296797
1.07374e+09,175.012380,174.392620,174.928728,174.845862,175.127746,176.283946
2.14748e+09,353.931926,353.423919,353.358966,354.200635,354.915759,353.791207
4.29497e+09,696.084670,696.867302,699.873058,694.034896,692.294743,702.882976
