Scan Vector Size,asc-qdr08 (s),asc-qdr10 (s),asc-qdr14 (s),asc-qdr13 (s),asc-qdr12 (s),asc-qdr09 (s),asc-qdr11 (s)
32768,0.018895,0.018823,0.018916,0.018826,0.018909,0.018906,0.018926
65536,0.023044,0.023085,0.023133,0.023150,0.023150,0.023167,0.023192
131072,0.030928,0.030973,0.031000,0.030986,0.030978,0.031012,0.031010
262144,0.050617,0.050574,0.050609,0.050695,0.050719,0.050664,0.050656
524288,0.093970,0.094005,0.094095,0.094086,0.094131,0.094033,0.094233
1.04858e+06,0.172131,0.171886,0.171987,0.172316,0.172343,0.172247,0.172202
2.09715e+06,0.349553,0.349600,0.349666,0.349655,0.349767,0.348278,0.350289
4.1943e+06,0.634331,0.634260,0.634899,0.634907,0.634979,0.634692,0.635333
8.38861e+06,1.217364,1.216680,1.216193,1.218487,1.217362,1.216959,1.216860
1.67772e+07,2.427913,2.426497,2.428517,2.428901,2.429689,2.432619,2.424336
3.35544e+07,4.793180,4.790434,4.793723,4.796190,4.801577,4.797087,4.793043
6.71089e+07,9.636648,9.652458,9.649600,9.647805,9.654140,9.660760,9.657339
1.34218e+08,19.290134,19.287362,19.300168,19.294908,19.305722,19.273844,19.227397
2.68435e+08,38.918270,39.225094,39.139032,39.113314,39.079147,39.080377,38.957503
5.36871e+08,76.461071,76.734684,76.259955,76.499114,76.365378,76.883641,76.591234
1.07374e+09,156.253619,156.415196,155.742899,156.383155,157.403264,156.005083,155.359314
2.14748e+09,300.893180,300.603977,300.748015,300.361947,302.294477,300.974909,299.663329
4.29497e+09,607.853466,609.614247,608.715306,608.868853,608.963171,619.929266,612.574279
