Scan Vector Size,asc-qdr08 (s),asc-qdr11 (s),asc-qdr12 (s),asc-qdr10 (s),asc-qdr14 (s),asc-qdr15 (s),asc-qdr13 (s),asc-qdr09 (s)
32768,0.020634,0.020570,0.020497,0.020466,0.020463,0.020562,0.020604,0.020432
65536,0.024722,0.024801,0.024718,0.024759,0.024794,0.024737,0.024741,0.024896
131072,0.030712,0.030758,0.030759,0.030749,0.030745,0.030666,0.030828,0.030714
262144,0.046502,0.046393,0.046574,0.046441,0.046443,0.046418,0.046373,0.046467
524288,0.094460,0.094531,0.094478,0.094472,0.094495,0.094581,0.094447,0.094469
1.04858e+06,0.216732,0.216831,0.216692,0.216774,0.216775,0.209114,0.216640,0.216716
2.09715e+06,0.274918,0.274896,0.274655,0.274781,0.274776,0.274879,0.275045,0.274781
4.1943e+06,0.545355,0.548130,0.545426,0.545533,0.545668,0.546321,0.545469,0.546194
8.38861e+06,1.070607,1.069198,1.070164,1.071476,1.070727,1.072883,1.070672,1.071663
1.67772e+07,2.106833,2.105439,2.105803,2.106874,2.106761,2.105681,2.105922,2.106408
3.35544e+07,4.302046,4.302639,4.302204,4.303687,4.305070,4.301001,4.301792,4.301914
6.71089e+07,8.239345,8.252623,8.230559,8.236511,8.238166,8.237664,8.233956,8.236127
1.34218e+08,16.848495,16.837601,16.842027,16.847951,16.846604,16.842777,16.851510,16.879127
2.68435e+08,32.685973,32.722363,32.685973,32.693805,32.693805,32.778609,32.752217,32.556579
5.36871e+08,70.986524,70.917621,70.986987,71.122435,71.190590,70.900433,70.943605,70.917621
1.07374e+09,135.810065,135.554697,135.810065,136.639325,136.547011,135.751726,135.659435,134.988177
2.14748e+09,269.932173,269.239819,269.932173,270.599470,272.270384,270.664942,267.160414,270.216680
4.29497e+09,531.562708,529.741016,531.562708,531.555264,529.612794,533.553707,528.390171,533.753427
