Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr09 Elapsed Time (s)
32768,0.006056,0.006013
65536,0.010825,0.010872
131072,0.021652,0.020927
262144,0.040252,0.041429
524288,0.078577,0.080250
1.04858e+06,0.158598,0.160847
2.09715e+06,0.302176,0.304437
4.1943e+06,0.614519,0.627777
8.38861e+06,1.197673,1.198526
1.67772e+07,2.341749,2.599470
3.35544e+07,4.767824,5.004413
6.71089e+07,9.810332,9.989924
1.34218e+08,20.071112,20.552234
2.68435e+08,38.358166,37.961695
5.36871e+08,75.951179,75.870858
1.07374e+09,152.789515,155.769986
2.14748e+09,318.377339,310.078617
4.29497e+09,615.088657,618.852789
