Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr10 Elapsed Time (s),asc-qdr09 Elapsed Time (s)
32768,0.004098,0.003695,0.004411
65536,0.006443,0.007426,0.007878
131072,0.011872,0.013628,0.013673
262144,0.023002,0.026721,0.029502
524288,0.050608,0.052198,0.054110
1.04858e+06,0.098982,0.102395,0.103581
2.09715e+06,0.184884,0.212539,0.219910
4.1943e+06,0.353263,0.405715,0.470690
8.38861e+06,0.693488,0.793579,0.808402
1.67772e+07,1.451059,1.764361,1.786505
3.35544e+07,2.885165,3.185607,3.347843
6.71089e+07,5.817871,6.352470,6.484463
1.34218e+08,11.844928,12.908607,14.656879
2.68435e+08,24.349572,25.981344,26.765638
5.36871e+08,47.570973,54.906388,55.521301
1.07374e+09,90.125544,103.986176,106.999353
2.14748e+09,185.856945,211.194271,206.769974
4.29497e+09,358.539841,418.879796,420.372323
