Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr10 Elapsed Time (s),asc-qdr09 Elapsed Time (s),asc-qdr11 Elapsed Time (s)
32768,0.003195,0.003247,0.003600,0.003878
65536,0.005573,0.005350,0.006511,0.006045
131072,0.009785,0.009748,0.010802,0.011237
262144,0.018028,0.017751,0.020554,0.020781
524288,0.034716,0.034571,0.039929,0.039909
1.04858e+06,0.068953,0.069255,0.080651,0.081756
2.09715e+06,0.134833,0.137972,0.152700,0.164705
4.1943e+06,0.271926,0.276905,0.303528,0.310720
8.38861e+06,0.519168,0.526475,0.601819,0.605658
1.67772e+07,1.042674,1.082626,1.200610,1.228776
3.35544e+07,2.144869,2.152769,2.431724,2.517199
6.71089e+07,4.269855,4.281847,4.737850,5.014935
1.34218e+08,8.330324,8.587852,9.572191,10.030518
2.68435e+08,16.762873,17.621984,20.311073,20.408376
5.36871e+08,33.922663,34.984750,37.713803,39.309033
1.07374e+09,68.265690,69.806122,77.298550,80.490830
2.14748e+09,134.001536,136.499479,153.031207,154.508468
4.29497e+09,277.295008,274.083856,313.159516,316.153367
