Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr10 Elapsed Time (s),asc-qdr11 Elapsed Time (s),asc-qdr09 Elapsed Time (s),asc-qdr12 Elapsed Time (s)
32768,0.002730,0.002799,0.003015,0.002718,0.003191
65536,0.004346,0.004381,0.004544,0.005001,0.005142
131072,0.007480,0.008251,0.008025,0.008656,0.008820
262144,0.014594,0.014466,0.015173,0.016656,0.016610
524288,0.027761,0.028148,0.027605,0.032375,0.032266
1.04858e+06,0.054296,0.054486,0.055085,0.062377,0.065053
2.09715e+06,0.108991,0.111846,0.120189,0.122603,0.123652
4.1943e+06,0.213249,0.221065,0.229584,0.247493,0.258013
8.38861e+06,0.424120,0.439051,0.463148,0.489241,0.494609
1.67772e+07,0.827273,0.834255,0.844730,0.977369,1.034377
3.35544e+07,1.678925,1.714067,1.704602,1.907393,1.994733
6.71089e+07,3.390006,3.420234,3.590628,3.848618,3.876211
1.34218e+08,6.645997,6.955384,6.959620,7.694526,7.939575
2.68435e+08,13.672694,13.738839,14.152213,15.357503,15.647480
5.36871e+08,27.598569,28.176972,28.553110,32.077949,32.837833
1.07374e+09,54.182283,54.026409,55.472955,62.090441,65.286112
2.14748e+09,109.975197,110.762859,112.319530,127.768338,133.608112
4.29497e+09,212.074478,213.804533,228.103852,246.592237,245.368761
