Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr11 Elapsed Time (s),asc-qdr10 Elapsed Time (s),asc-qdr12 Elapsed Time (s),asc-qdr09 Elapsed Time (s),asc-qdr13 Elapsed Time (s)
32768,0.002246,0.002328,0.002336,0.002455,0.002647,0.002411
65536,0.003661,0.003729,0.003854,0.003687,0.004195,0.004202
131072,0.006425,0.006551,0.006554,0.006555,0.007562,0.008000
262144,0.012030,0.012038,0.011967,0.012853,0.013981,0.015231
524288,0.023236,0.023556,0.023692,0.024982,0.026569,0.028290
1.04858e+06,0.045214,0.045997,0.047117,0.048656,0.051877,0.052397
2.09715e+06,0.092122,0.092117,0.098955,0.101512,0.109518,0.111797
4.1943e+06,0.175993,0.182476,0.186118,0.186249,0.207030,0.222993
8.38861e+06,0.352807,0.355299,0.356691,0.366615,0.419126,0.443674
1.67772e+07,0.709187,0.713360,0.713682,0.746518,0.819547,0.816487
3.35544e+07,1.392984,1.443364,1.473021,1.491520,1.623611,1.654998
6.71089e+07,2.871397,2.908704,3.002667,3.044051,3.297650,3.322068
1.34218e+08,5.668053,5.703711,5.795125,5.899860,6.517909,6.812829
2.68435e+08,11.308830,11.485656,11.486207,11.582767,13.072240,13.880581
5.36871e+08,22.105535,22.461614,22.658507,22.664765,25.858340,26.897598
1.07374e+09,44.666602,44.774190,46.078488,46.771171,51.386891,51.622662
2.14748e+09,88.266642,89.866831,89.435362,92.029328,103.792127,109.144873
4.29497e+09,180.360513,180.849792,185.262924,192.405730,203.976096,211.558168
