Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr10 Elapsed Time (s),asc-qdr11 Elapsed Time (s),asc-qdr09 Elapsed Time (s),asc-qdr13 Elapsed Time (s),asc-qdr12 Elapsed Time (s),asc-qdr14 Elapsed Time (s)
32768,0.001925,0.001941,0.002025,0.002364,0.002536,0.002411,0.002235
65536,0.003294,0.003289,0.003442,0.003431,0.003721,0.004202,0.003743
131072,0.005559,0.005628,0.005732,0.006552,0.006783,0.008000,0.006783
262144,0.010459,0.010808,0.011044,0.011149,0.011687,0.015231,0.012044
524288,0.019830,0.019993,0.020732,0.023070,0.024243,0.028290,0.032584
1.04858e+06,0.038799,0.039115,0.039200,0.040487,0.044687,0.052397,0.045636
2.09715e+06,0.077070,0.077592,0.077803,0.081233,0.088402,0.111797,0.092547
4.1943e+06,0.153635,0.157408,0.158474,0.168199,0.178087,0.222993,0.192697
8.38861e+06,0.298545,0.318014,0.326738,0.324609,0.351241,0.443674,0.359395
1.67772e+07,0.614721,0.621166,0.624285,0.614231,0.685863,0.816487,0.699422
3.35544e+07,1.213074,1.217312,1.234933,1.243214,1.461089,1.654998,1.560239
6.71089e+07,2.372825,2.429720,2.437297,2.493951,2.725267,3.322068,2.830780
1.34218e+08,4.805108,4.777175,4.851950,4.847970,5.678398,6.812829,5.743881
2.68435e+08,9.473614,9.719759,9.665302,10.175935,10.990596,13.880581,11.567662
5.36871e+08,19.093619,19.065753,19.094841,20.178347,23.382198,26.897598,23.199803
1.07374e+09,38.010491,38.334570,39.134879,40.574473,42.982805,51.622662,44.418380
2.14748e+09,74.753281,76.125706,79.137474,77.723099,92.968709,109.144873,95.243808
4.29497e+09,152.432881,157.786132,157.945230,160.187306,179.074876,211.558168,177.775028
