Transform Vector Size,asc-qdr08 Elapsed Time (s),asc-qdr14 Elapsed Time (s),asc-qdr09 Elapsed Time (s),asc-qdr10 Elapsed Time (s),asc-qdr12 Elapsed Time (s),asc-qdr11 Elapsed Time (s),asc-qdr13 Elapsed Time (s),asc-qdr15 Elapsed Time (s)
32768,0.002175,0.002155,0.002178,0.002239,0.002494,0.002568,0.002859,0.002638
65536,0.003169,0.003224,0.003268,0.003311,0.003225,0.003662,0.003783,0.003931
131072,0.005139,0.005261,0.005322,0.005700,0.005309,0.006008,0.006000,0.005982
262144,0.009363,0.009558,0.009435,0.009676,0.010860,0.010766,0.011249,0.021214
524288,0.017544,0.017624,0.017786,0.017723,0.018112,0.020129,0.020798,0.022773
1.04858e+06,0.034514,0.034649,0.034932,0.035974,0.041762,0.042228,0.042458,0.050788
2.09715e+06,0.068090,0.068667,0.068713,0.068271,0.068757,0.079737,0.080403,0.085569
4.1943e+06,0.133499,0.135952,0.138203,0.140885,0.148081,0.155708,0.156783,0.158785
8.38861e+06,0.264276,0.267882,0.269728,0.275896,0.287185,0.305415,0.302837,0.313544
1.67772e+07,0.527010,0.536530,0.539630,0.545747,0.574967,0.595377,0.594357,0.609895
3.35544e+07,1.039869,1.066415,1.070110,1.068543,1.135497,1.197279,1.200362,1.224439
6.71089e+07,2.059155,2.109727,2.112512,2.124731,2.162303,2.349050,2.477720,2.506776
1.34218e+08,4.133354,4.200909,4.309732,4.310054,4.287585,4.940531,5.014263,5.034379
2.68435e+08,8.457839,8.530879,8.413090,8.636402,8.767524,9.851379,10.139723,10.187213
5.36871e+08,16.733727,16.970491,17.099042,17.365979,17.484576,19.432131,19.577493,20.069720
1.07374e+09,33.221042,33.284232,33.740857,34.312296,35.146571,38.911525,39.421337,38.801835
2.14748e+09,66.722837,66.809465,67.986513,69.710321,69.722072,76.265802,78.175120,79.763686
4.29497e+09,133.084786,135.095379,138.527506,139.455273,140.935674,151.063090,154.674758,162.868524
